#Names	A	R	S	C	P
Micranthes_apetala_61	0	1	0	1	0
Micranthes_bryophora_114	0	0	1	0	0
Micranthes_bryophora_66	0	0	1	0	0
Micranthes_bryophora_90	0	1	0	0	0
Micranthes_bryophora_JS01RS	0	1	0	0	0
Micranthes_bryophora_JS02RS	0	1	0	0	0
Micranthes_bryophora_JS03RS	0	1	0	0	0
Micranthes_bryophora_JS04RS	0	1	0	0	0
Micranthes_bryophora_JS06RS	0	1	0	0	0
Micranthes_ferruginea_87	0	1	1	1	0
Micranthes_laciniata_107	1	0	0	0	0
Micranthes_merkii_H8	1	0	0	0	0
Micranthes_merkii_rf	1	0	0	0	0
Micranthes_oregana_77	0	1	1	1	0
Micranthes_petiolaris_38	0	0	0	0	1
Micranthes_rhomboidea_42	0	1	0	0	0
Micranthes_tolmiei_111	0	0	1	0	0
Micranthes_tolmiei_112	0	0	1	0	0
Micranthes_tolmiei_113	0	0	1	0	0
Micranthes_tolmiei_115	0	0	1	0	0
Micranthes_tolmiei_166	0	0	0	1	0
Micranthes_tolmiei_67	0	0	0	1	0
Micranthes_tolmiei_74	0	1	0	0	0
Micranthes_tolmiei_88	0	1	0	0	0
Micranthes_tolmiei_CD10Rs	0	1	0	0	0
Micranthes_tolmiei_H3	0	0	0	1	0
Micranthes_tolmiei_JS13	0	1	0	0	0
Chrysosplenium_album_rf	1	0	0	0	0
